"Date","Transaction","Name","Memo","Amount"
"2021-05-03","DEBIT","FEEDING LITTLES SCOTTSDALE AZ  ","82305091121000000892623; 08299; ; ; ;","-44.00"
"2021-05-03","DEBIT","FOOD LION #0760 FAYETTEVILLE NC  ","05140481121720206954892; 05411; ; ; ;","-43.66"
"2021-05-03","DEBIT","WWW.HIBOBBIE.COM SAN FRANCISCO CA  ","82305091122000012500569; 05999; ; ; ;","-96.00"
"2021-05-04","DEBIT","WM SUPERCENTER #1261 FAYETTEVILLE NC  ","05436841124400049835955; 05411; ; ; ;","-13.55"
"2021-05-04","DEBIT","WM SUPERCENTER #1261 FAYETTEVILLE NC  ","05436841124400049835872; 05411; ; ; ;","-157.15"
"2021-05-04","DEBIT","FAYETTEVILLE FAMILY CH FAYETTEVILLE NC  ","55421351123939113928132; 08041; ; ; ;","-25.00"
"2021-05-05","DEBIT","WALMART.COM AS 8009666546 AR  ","55500361125083718177968; 05310; ; ; ;","-63.12"
"2021-05-05","DEBIT","SONIC #4177 SPRING LAKE NC  ","05140481124740274745326; 05814; ; ; ;","-23.26"
"2021-05-05","DEBIT","AMZN Mktp US*9L5C89QR3 Amzn.com/bill WA  ","55432861124200111414599; 05942; ; ; ;","-12.83"
"2021-05-05","DEBIT","AMZN Mktp US*RR3CI0S83 Amzn.com/bill WA  ","55432861124200105036655; 05942; ; ; ;","-56.39"
"2021-05-06","DEBIT","ALDI 66072 FAYETTEVILLE NC  ","05140481125710036304117; 05411; ; ; ;","-26.91"
"2021-05-06","DEBIT","SHEETZ 0685 00006858 FAYETTEVILLE NC  ","05410191125498009899218; 05542; ; ; ;","-31.16"
"2021-05-06","DEBIT","SHEETZ 0685 00006858 FAYETTEVILLE NC  ","05410191125498009875762; 05541; ; ; ;","-7.77"
"2021-05-10","DEBIT","ALDI 66072 FAYETTEVILLE NC  ","05140481128710042707094; 05411; ; ; ;","-23.59"
"2021-05-10","CREDIT","WALMART.COM 800-966-6546 AR  ","55432861129200515622032; 05310; ; ; ;","44.38"
"2021-05-10","CREDIT","WALMART.COM AS 8009666546 AR  ","55500361129083001761623; 05310; ; ; ;","19.45"
"2021-05-10","DEBIT","AMZN Mktp US*2L4C37AO0 Amzn.com/bill WA  ","55432861129200378813157; 05942; ; ; ;","-171.15"
"2021-05-10","DEBIT","WM SUPERCENTER #1261 FAYETTEVILLE NC  ","05436841130400051092992; 05411; ; ; ;","-36.32"
"2021-05-11","DEBIT","CIRCLE K # 23054 FAYETTEVILLE NC  ","55432861131200893449863; 05542; ; ; ;","-42.95"
"2021-05-13","DEBIT","NETFLIX.COM NETFLIX.COM CA  ","75418231132121082041132; 04899; ; ; ;","-9.62"
"2021-05-17","DEBIT","WM SUPERCENTER #1261 FAYETTEVILLE NC  ","05436841137400053775084; 05411; ; ; ;","-58.56"
"2021-05-19","DEBIT","CIRCLE K # 23054 FAYETTEVILLE NC  ","55432861139200146230013; 05542; ; ; ;","-30.21"
"2021-05-21","DEBIT","AMZN Mktp US*2L9BA6WU2 Amzn.com/bill WA  ","55432861140200565144155; 05942; ; ; ;","-12.27"
"2021-05-24","DEBIT","SHEETZ 0685 00006858 FAYETTEVILLE NC  ","05410191143498009835582; 05542; ; ; ;","-17.22"
"2021-05-25","DEBIT","IN *NATURALLY UNLEASHE FAYETTEVILLE NC  ","55432861144200742069610; 05995; ; ; ;","-44.88"
"2021-05-25","DEBIT","RUG DOCTOR RAPID RENT PLANO TX  ","05227021144200042126909; 07394; ; ; ;","-42.77"
"2021-05-26","DEBIT","Spotify USA New York NY  ","15270211145309738198733; 04899; ; ; ;","-16.04"
"2021-05-26","DEBIT","CIRCLE K # 23054 FAYETTEVILLE NC  ","55432861146200064476029; 05541; ; ; ;","-33.78"
"2021-05-27","DEBIT","WAL-MART #1261 FAYETTEVILLE NC  ","55483821147091005191038; 05411; ; ; ;","-19.20"
"2021-05-27","DEBIT","WWW.HIBOBBIE.COM SAN FRANCISCO CA  ","82305091146000012400630; 05999; ; ; ;","-192.00"
"2021-05-27","DEBIT","Amazon.com*2R5XU0XX0 Amzn.com/bill WA  ","55432861146200225130523; 05942; ; ; ;","-137.02"
