Date,Description,Original Description,Category,Amount,Status
2021-05-28,"Circle K","CIRCLE K # 23054 6245    FAYETTEVILLE NC",Gas,-19.35,Posted
2021-05-26,"Zaxby's","ZAXBY'S #35602           LILLINGTON   NC",Fast Food,-18.92,Posted
2021-05-24,"Walmart","WM SUPERCENTER #Wal-Mart FAYETTEVILLE NC",Shopping,-74.48,Posted
2021-05-24,"Sonic","SONIC #6142              FAYETTEVILLE NC",Fast Food,-20.16,Posted
2021-05-24,"Dunkin' Donuts & Baskin-Robbins","DD/BR #340853            FAYETTEVILLE NC",Fast Food,-18.95,Posted
2021-05-24,"Food Lion","FOOD LION #0760          FAYETTEVILLE NC",Groceries,-7.13,Posted
2021-05-21,"Cook Out","COOK OUT FAYETTEVILLE.   FAYETTEVILLE NC",Fast Food,-23.65,Posted
2021-05-21,"Zaxby's","ZAXBY'S #35602           LILLINGTON   NC",Fast Food,-18.92,Posted
2021-05-20,"Taco Bell","TACO BELL 3003019        FAYETTEVILLE NC",Fast Food,-17.33,Posted
2021-05-20,"No Restaurant","NO 1 RESTAURANT          LILLINGTON   NC",Restaurants,-14.30,Posted
2021-05-18,"Circle K","CIRCLE K # 23054 6245    FAYETTEVILLE NC",Gas,-6.15,Posted
2021-05-17,"Aldi","ALDI 66072               FAYETTEVILLE NC",Groceries,-17.78,Posted
2021-05-11,"Aldi","ALDI 66072               FAYETTEVILLE NC",Groceries,-61.33,Posted
2021-05-11,"Cook Out","COOK OUT FAYETTEVILLE.   FAYETTEVILLE NC",Fast Food,-23.65,Posted
2021-05-10,"Aldi","ALDI 66072               FAYETTEVILLE NC",Groceries,-75.48,Posted
2021-05-10,"Walmart","Wal-Mart Super Center    FAYETTEVILLE NC",Shopping,-41.11,Posted
2021-05-10,"Circle K","CIRCLE K # 23054 6245    FAYETTEVILLE NC",Gas,-10.68,Posted
2021-05-07,"Freddy's Frozen Custard & Steakburgers","FREDDY'S 32-0005         FAYETTEVILLE NC",Fast Food,-28.49,Posted
2021-05-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,584.91,Posted
